dmr_make,dmr_model,age_band,chapter,chapter_name,n_defects_2_3er,n_tests,defect_rate_per_test
OPEL,INSIGNIA,1,0,Identifikasjon av kjoretoyet (vehicle identification),0,1365,0.0
PEUGEOT,308,2,0,Identifikasjon av kjoretoyet (vehicle identification),9,4530,0.002
MITSUBISHI,OUTLANDER,3,0,Identifikasjon av kjoretoyet (vehicle identification),91,16791,0.0054
TOYOTA,AURIS,1,0,Identifikasjon av kjoretoyet (vehicle identification),6,6033,0.001
VOLVO,XC60,4,0,Identifikasjon av kjoretoyet (vehicle identification),42,9334,0.0045
OPEL,ASTRA,2,0,Identifikasjon av kjoretoyet (vehicle identification),3,1977,0.0015
TOYOTA,VERSO,3,0,Identifikasjon av kjoretoyet (vehicle identification),10,3553,0.0028
SUZUKI,SWIFT,4,0,Identifikasjon av kjoretoyet (vehicle identification),12,4271,0.0028
HONDA,CIVIC,4,0,Identifikasjon av kjoretoyet (vehicle identification),19,2980,0.0064
HYUNDAI,i30 Stc.,4,0,Identifikasjon av kjoretoyet (vehicle identification),35,3800,0.0092
NISSAN,Qashqai J11A,2,0,Identifikasjon av kjoretoyet (vehicle identification),15,7503,0.002
RENAULT,CLIO,1,0,Identifikasjon av kjoretoyet (vehicle identification),3,563,0.0053
BMW,1-Serie,2,0,Identifikasjon av kjoretoyet (vehicle identification),6,1319,0.0045
NISSAN,X-TRAIL,4,0,Identifikasjon av kjoretoyet (vehicle identification),50,3637,0.0137
HYUNDAI,I20,1,0,Identifikasjon av kjoretoyet (vehicle identification),0,1113,0.0
KIA,PICANTO,2,0,Identifikasjon av kjoretoyet (vehicle identification),7,1280,0.0055
RENAULT,Kadjar,2,0,Identifikasjon av kjoretoyet (vehicle identification),5,688,0.0073
FIAT,500,2,0,Identifikasjon av kjoretoyet (vehicle identification),3,384,0.0078
